Site, Member, Distance, Distance_Value, Duration, Duration_value
5,27,13.3 mi,2191,37 mins,2191
5,28,5.1 mi,905,15 mins,905
5,29,2.2 mi,752,13 mins,752
5,30,18.0 mi,2633,44 mins,2633
5,31,17.3 mi,2097,35 mins,2097
5,32,6.9 mi,966,16 mins,966
5,33,16.9 mi,2263,38 mins,2263
5,34,6.7 mi,1066,18 mins,1066
5,35,17.6 mi,2474,41 mins,2474
5,36,4.7 mi,911,15 mins,911
5,37,17.8 mi,1829,30 mins,1829
5,38,17.1 mi,2425,40 mins,2425
5,39,20.4 mi,2538,42 mins,2538
5,40,21.6 mi,2325,39 mins,2325
5,41,26.4 mi,2496,42 mins,2496
5,42,16.4 mi,1848,31 mins,1848
5,43,25.7 mi,2458,41 mins,2458
5,44,11.5 mi,1821,30 mins,1821
5,45,17.6 mi,2428,40 mins,2428
5,46,6.4 mi,1135,19 mins,1135
5,47,7.3 mi,1073,18 mins,1073
5,48,1.5 mi,482,8 mins,482
5,49,8.7 mi,1393,23 mins,1393
5,50,8.4 mi,1289,21 mins,1289
5,51,10.6 mi,1769,29 mins,1769
5,52,7.0 mi,1170,20 mins,1170
5,53,13.7 mi,1825,30 mins,1825
5,54,19.9 mi,2370,40 mins,2370
5,55,1.8 mi,690,12 mins,690
5,56,10.9 mi,1497,25 mins,1497
5,57,10.8 mi,1360,23 mins,1360
5,58,9.4 mi,1307,22 mins,1307
5,59,42.7 mi,3352,56 mins,3352
5,60,28.2 mi,3140,52 mins,3140
5,61,29.7 mi,2966,49 mins,2966
5,62,13.9 mi,1592,27 mins,1592
5,63,16.6 mi,2297,38 mins,2297
5,64,8.4 mi,1329,22 mins,1329
5,65,6.6 mi,1211,20 mins,1211
5,66,5.7 mi,1162,19 mins,1162
5,67,5.1 mi,925,15 mins,925
5,68,16.3 mi,2120,35 mins,2120
5,69,1.8 mi,690,12 mins,690
5,70,12.1 mi,2040,34 mins,2040
5,71,21.0 mi,2688,45 mins,2688
5,72,14.1 mi,1723,29 mins,1723
5,73,3.4 mi,704,12 mins,704
5,74,19.4 mi,2358,39 mins,2358
5,75,6.9 mi,1098,18 mins,1098
5,76,18.0 mi,2379,40 mins,2379
5,77,17.9 mi,2640,44 mins,2640
5,78,10.2 mi,1232,21 mins,1232
5,79,10.2 mi,1486,25 mins,1486
5,80,16.8 mi,2398,40 mins,2398
5,81,8.2 mi,1289,21 mins,1289
5,82,19.9 mi,2370,40 mins,2370
5,83,3.8 mi,807,13 mins,807
5,84,18.3 mi,2647,44 mins,2647
5,85,7.5 mi,1286,21 mins,1286
5,86,26.0 mi,2933,49 mins,2933
5,87,21.0 mi,2749,46 mins,2749
5,88,15.2 mi,2265,38 mins,2265
5,89,29.9 mi,2681,45 mins,2681
5,90,9.6 mi,1264,21 mins,1264
5,91,1.8 mi,702,12 mins,702
5,92,22.7 mi,3001,50 mins,3001
5,93,15.6 mi,1874,31 mins,1874
5,94,12.5 mi,1635,27 mins,1635
5,95,12.1 mi,1573,26 mins,1573
5,96,4.9 mi,895,15 mins,895
5,97,5.9 mi,1107,18 mins,1107
5,98,28.1 mi,2524,42 mins,2524
5,99,8.4 mi,1365,23 mins,1365
5,100,22.8 mi,2973,50 mins,2973
5,101,11.1 mi,1609,27 mins,1609
5,102,16.6 mi,2245,37 mins,2245
5,103,2.3 mi,877,15 mins,877
5,104,28.6 mi,3336,56 mins,3336
5,105,16.7 mi,2254,38 mins,2254
5,106,10.2 mi,1606,27 mins,1606
5,107,5.1 mi,823,14 mins,823
